Posição;Município;IBGE;Descrição Faixa;Prestadores;Serviços;Natureza Jurídica;POP_TOT;POP_URB;Ano;IDAA;IDES;IDRS;IDAP;INSA;Desempenho;Cod_Prestador
465;Caldas;3110301;1 - De 1 até 30.000 hab.;[31062000] Companhia de Saneamento de Minas Gerais - COPASA | [31103040] Prefeitura Municipal de Caldas - PMC;Água e Esgoto | Res. Sólidos;Sociedade de economia mista com administração pública | Administração pública direta;14217;8288,0;2020-2022;0,1806517311608961;0,09459999999999999;0,4795252225519287;0,7330661322645291;0,3719607714943385;Baixo;31062000
466;Delfinópolis;3121209;1 - De 1 até 30.000 hab.;[31062000] Companhia de Saneamento de Minas Gerais - COPASA | [31212040] PREFEITURA MUNICIPAL DE DELFINOPOLIS - PMDELF;Água e Esgoto | Res. Sólidos;Sociedade de economia mista com administração pública | Administração pública direta;8393;5070,0;2020-2022;0,33686354378818734;0,13440000000000002;0,339321357285429;0,6717434869739479;0,37058209701189104;Baixo;31062000
467;Matutina;3141207;1 - De 1 até 30.000 hab.;[31062000] Companhia de Saneamento de Minas Gerais - COPASA | [31412011] Prefeitura Municipal de Matutina - PMM | [31412040] Prefeitura Municipal de Matutina - PMM;Esgotos | Água | Res. Sólidos;Administração pública direta | Sociedade de economia mista com administração pública | Administração pública direta;3814;2673,0;2020-2022;0,31248751248751255;0,6052;0,3594460929772502;0,2046092184368737;0,37043570597540915;Baixo;31062000
468;Santa Rita do Sapucaí;3159605;2 - De 30.001 até 100.000 hab.;[31062000] Companhia de Saneamento de Minas Gerais - COPASA | [31596040] Prefeitura Municipal de Santa Rita do Sapucaí - PMSRS;Água e Esgoto | Res. Sólidos;Sociedade de economia mista com administração pública | Administração pública direta;40635;38022,0;2020-2022;0,4871690427698575;0,2366;0,5314375987361769;0,22545090180360722;0,3701643858274104;Baixo;31062000
469;Senador Cortes;3165602;1 - De 1 até 30.000 hab.;[31656011] Prefeitura Municipal de Senador Cortes - PMSC | [31656040] Prefeitura Munipal de Senador Cortes - PMSC;Água e Esgoto | Res. Sólidos;Administração pública direta | Administração pública direta;2240;1522,0;2020-2022;0,310889110889111;0,35040000000000004;0,18694736842105264;0,630060120240481;0,36957414988766113;Baixo;31656011
470;São João Evangelista;3162807;1 - De 1 até 30.000 hab.;[31062000] Companhia de Saneamento de Minas Gerais - COPASA | [31628011] Prefeitura Municipal de São João Evangelista - PMSJE | [31628040] Prefeitura Municipal de São João Evangelista - PMSJE;Esgotos | Água | Res. Sólidos;Administração pública direta | Sociedade de economia mista com administração pública | Administração pública direta;15315;10243,0;2020-2022;0,3771894093686354;0,39127272727272727;0,4164296998420221;0,2929859719438878;0,36946945210681814;Baixo;31062000
471;Iguatama;3130309;1 - De 1 até 30.000 hab.;[31303012] Serviço Autônomo de Água e Esgoto de Iguatama - SAAE | [31303040] Prefeitura Municipal de Iguatama - PMI;Água e Esgoto | Res. Sólidos;Autarquia | Administração pública direta;6826;6608,0;2020-2022;0,31808191808191816;0,40440000000000004;0,25082212257100145;0,5006012024048097;0,3684763107644323;Baixo;31303012
472;Goianá;3127388;1 - De 1 até 30.000 hab.;[31062000] Companhia de Saneamento de Minas Gerais - COPASA | [31273811] Prefeitura Municipal de Goianá - PMG | [31273840] Prefeitura Municipal de Goianá - PMG;Esgotos | Água | Res. Sólidos;Administração pública direta | Sociedade de economia mista com administração pública | Administração pública direta;4053;3257,0;2020-2022;0,36008146639511196;0,6000000000000001;0,29768421052631583;0,2156312625250501;0,36834923486161947;Baixo;31062000
473;Lambari;3137809;1 - De 1 até 30.000 hab.;[31378011] Serviço Autônomo de Água e Esgoto - SAAE | [31378040] Prefeitura Municipal de lambari - PML;Água e Esgoto | Res. Sólidos;Autarquia | Administração pública direta;20414;15070,0;2020-2022;0,3692464358452138;0,5508;0,28683853459972863;0,26593186372745486;0,3682042085430993;Baixo;31378011
474;Sabinópolis;3156809;1 - De 1 até 30.000 hab.;[31568011] Serviço Autônomo de Água e Esgoto - SAAE | [31568040] Prefeitura Municipal de Sabinópolis - PMS;Água e Esgoto | Res. Sólidos;Autarquia | Administração pública direta;14240;9917,0;2020-2022;0,2551448551448552;0,40259999999999996;0,25396226415094336;0,558316633266533;0,36750593814058286;Baixo;31568011
